Unnamed: 0,Temperature,RH,Ws,Rain,FFMC,DMC,DC,ISI,BUI,FWI,Classes,Region,date
4,30,78,20,0.5,59.0,4.6,7.8,1.0,4.4,0.4,0,0,2012-06-14
108,27,59,18,0.1,78.1,8.5,14.7,2.4,8.3,1.9,0,0,2012-06-09
61,29,86,16,0.0,37.9,0.9,8.2,0.1,1.4,0.0,0,0,2012-09-01
116,34,51,16,3.8,77.5,8.0,9.5,2.0,7.7,1.3,0,0,2012-07-10
52,38,35,15,0.0,93.8,23.0,42.7,15.7,22.9,20.9,1,0,2012-08-04
66,32,51,13,0.0,88.7,16.0,50.2,6.9,17.8,9.8,1,0,2012-09-15
26,34,64,14,0.0,88.9,40.5,171.3,9.0,50.9,20.9,1,0,2012-08-24
97,30,77,15,1.0,56.1,2.1,8.4,0.7,2.6,0.2,0,0,2012-09-09
92,31,78,18,0.0,85.8,45.6,190.6,4.7,57.1,13.7,1,0,2012-08-26
229,40,41,10,0.1,92.0,22.6,65.1,9.5,24.2,14.8,1,1,2012-08-16
40,31,72,14,0.2,60.2,3.8,8.0,0.8,3.7,0.3,0,0,2012-06-20
13,33,76,14,0.0,81.1,8.1,18.7,2.6,8.1,2.2,0,0,2012-07-11
3,28,79,12,0.0,73.2,9.5,46.3,1.3,12.6,0.9,0,0,2012-06-10
137,31,78,14,0.3,56.9,1.9,8.0,0.7,2.4,0.2,0,0,2012-06-18
24,35,63,15,0.0,87.0,19.0,85.1,5.9,24.4,10.2,1,0,2012-08-13
30,29,73,17,0.1,68.4,1.9,15.7,1.4,2.9,0.5,0,0,2012-09-04
217,32,47,14,0.7,77.5,7.1,8.8,1.8,6.8,0.9,0,1,2012-09-28
60,30,59,19,0.0,89.1,27.8,168.2,9.8,39.3,19.4,1,0,2012-08-31
56,42,24,9,0.0,96.0,30.3,76.4,15.7,30.4,24.0,1,0,2012-08-17
182,33,63,17,1.1,72.8,20.9,56.6,1.6,21.7,2.5,0,1,2012-07-24
126,34,71,14,6.5,64.5,3.3,9.1,1.0,3.5,0.4,0,0,2012-09-06
19,33,76,15,0.0,86.5,24.4,117.8,5.6,32.1,11.3,1,0,2012-07-28
181,36,29,18,0.0,93.9,39.6,80.6,18.5,39.5,30.0,1,1,2012-07-21
191,36,54,14,0.0,91.0,65.9,177.3,10.0,68.0,26.1,1,1,2012-08-27
54,39,21,17,0.4,93.0,18.4,41.5,15.5,18.4,18.8,1,0,2012-08-12
194,29,74,15,1.1,59.5,4.7,8.2,0.8,4.6,0.3,0,1,2012-09-10
80,28,79,18,0.1,73.4,16.4,79.9,1.8,21.7,2.8,0,0,2012-07-22
51,40,34,14,0.0,93.3,10.8,21.4,13.8,10.6,13.5,1,0,2012-08-02
158,29,88,13,0.0,71.0,2.6,16.6,1.2,3.7,0.5,0,0,2012-09-12
166,27,58,17,0.0,88.9,21.3,37.8,8.7,21.2,12.9,1,1,2012-06-12
125,35,38,15,0.0,92.1,51.3,147.7,12.2,54.9,26.9,1,0,2012-08-24
86,35,59,17,0.0,87.4,14.8,57.0,6.9,17.9,9.9,1,0,2012-08-09
129,33,26,13,0.0,93.9,21.2,59.2,14.2,22.4,19.3,1,0,2012-09-16
136,26,81,19,0.0,84.0,13.8,61.4,4.8,17.7,7.1,1,0,2012-06-12
242,27,87,29,0.5,45.9,3.5,7.9,0.4,3.4,0.2,0,1,2012-09-28
124,36,43,16,0.0,91.2,46.1,137.7,11.5,50.2,24.5,1,0,2012-08-23
41,37,36,13,0.6,86.2,17.9,36.7,4.8,17.8,7.2,1,0,2012-06-29
14,34,61,13,0.6,73.9,7.8,22.9,1.4,8.4,0.8,0,0,2012-07-14
27,35,48,18,0.0,90.1,54.2,220.4,12.5,67.4,30.2,1,0,2012-08-29
50,36,56,16,0.0,88.9,23.8,57.1,8.2,23.8,13.2,1,0,2012-07-30
220,33,62,10,8.7,65.5,4.6,8.3,0.9,4.4,0.4,0,1,2012-06-18
20,32,73,15,0.0,86.6,26.7,127.0,5.6,35.0,11.9,1,0,2012-07-29
161,32,49,11,0.0,89.4,9.8,33.1,6.8,11.3,7.7,1,0,2012-09-18
46,36,44,13,0.0,90.1,12.6,19.4,8.3,12.5,9.6,1,0,2012-07-12
219,28,90,15,0.0,66.8,7.2,14.7,1.2,7.1,0.6,0,1,2012-06-15
238,28,81,15,0.0,84.6,12.6,41.5,4.3,14.3,5.7,1,1,2012-09-14
139,32,66,17,0.0,85.9,11.2,55.8,5.6,14.9,7.5,1,0,2012-06-24
171,32,67,14,4.5,64.6,4.4,8.2,1.0,4.2,0.4,0,1,2012-06-19
62,28,75,16,0.0,82.2,4.4,24.3,3.3,6.0,2.5,1,0,2012-09-03
178,34,45,17,0.0,90.5,18.0,24.1,10.9,17.7,14.1,1,1,2012-07-15
2,30,73,15,0.0,86.6,12.1,38.3,5.6,13.5,7.1,1,0,2012-06-08
59,35,56,14,0.4,79.2,37.0,166.0,2.1,30.6,6.1,0,0,2012-08-28
